"NomenCode","Reporter_ISO_N","ReporterName","ProductCode","Partner","PartnerName","Year","AdValorem","MeasureCode","MeasureName","NonAdValorem","Affected"
"H6","356","India","02044300","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02045000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02050000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02061000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02062100","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02062200","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02062900","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02063000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02064100","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02064900","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02068010","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02068090","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02069010","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02069090","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02071300","410","Korea, Rep.",2023,50,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02071400","410","Korea, Rep.",2023,50,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02072400","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02072500","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02072600","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02072700","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02074100","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02074200","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02074400","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02074500","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02075100","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02075200","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02075300","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02075400","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02075500","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02076000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02081000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02083000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02084000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02085000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02086000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02089010","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02089090","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02091000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02099000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02101100","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02101200","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02101900","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02102000","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02109100","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02109200","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02109300","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","02109900","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","03011100","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","03011900","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","03019100","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
"H6","356","India","03019200","410","Korea, Rep.",2023,5,48,"Preferential tariff for Korea, Republic of",,
