HS6,China,Japan,Korea,Uae,Veitnam
30259,30.0,0.0,5.0,0.0,5.0
30271,30.0,0.0,5.0,0.0,5.0
30272,30.0,0.0,5.0,0.0,5.0
30273,30.0,0.0,5.0,0.0,5.0
30274,30.0,0.0,5.0,0.0,0.0
30279,30.0,0.0,5.0,0.0,5.0
30281,30.0,0.0,5.0,0.0,0.0
30282,30.0,0.0,5.0,0.0,5.0
30283,30.0,0.0,5.0,0.0,5.0
30284,30.0,0.0,5.0,0.0,5.0
30285,30.0,0.0,5.0,0.0,5.0
30289,30.0,0.0,5.0,0.0,5.0
30291,30.0,0.0,5.0,0.0,0.0
30292,30.0,0.0,5.0,0.0,0.0
30299,30.0,0.0,5.0,0.0,2.5
30311,30.0,0.0,5.0,0.0,0.0
30312,30.0,0.0,5.0,0.0,0.0
30313,30.0,0.0,5.0,0.0,0.0
30314,30.0,0.0,5.0,0.0,0.0
30319,30.0,0.0,5.0,0.0,0.0
30323,30.0,0.0,5.0,0.0,0.0
30324,30.0,0.0,5.0,0.0,0.0
30325,30.0,0.0,5.0,0.0,0.0
30326,30.0,0.0,5.0,0.0,0.0
30329,30.0,0.0,5.0,0.0,0.0
30331,30.0,0.0,5.0,0.0,0.0
30332,30.0,0.0,5.0,0.0,0.0
30333,30.0,0.0,5.0,0.0,0.0
30334,30.0,0.0,5.0,0.0,0.0
30339,30.0,0.0,5.0,0.0,0.0
30341,30.0,0.0,5.0,0.0,0.0
30342,30.0,0.0,5.0,0.0,0.0
30343,30.0,0.0,5.0,0.0,0.0
30344,30.0,0.0,5.0,0.0,0.0
30345,30.0,0.0,5.0,0.0,0.0
30346,30.0,0.0,5.0,0.0,0.0
30349,30.0,0.0,5.0,0.0,0.0
30351,30.0,0.0,5.0,0.0,0.0
30353,30.0,0.0,5.0,0.0,0.0
30354,30.0,0.0,5.0,0.0,0.0
30355,30.0,0.0,5.0,0.0,0.0
30356,30.0,0.0,5.0,0.0,0.0
30357,30.0,0.0,5.0,0.0,0.0
30359,30.0,0.0,5.0,0.0,0.0
30363,30.0,0.0,5.0,0.0,0.0
30364,30.0,0.0,5.0,0.0,0.0
30365,30.0,0.0,5.0,0.0,0.0
30366,30.0,0.0,5.0,0.0,0.0
30367,30.0,0.0,5.0,0.0,0.0
30368,30.0,0.0,5.0,0.0,0.0
30369,30.0,0.0,5.0,0.0,0.0
30381,30.0,0.0,5.0,0.0,0.0
30382,30.0,0.0,5.0,0.0,0.0
30383,30.0,0.0,5.0,0.0,0.0
30384,30.0,0.0,5.0,0.0,0.0
30389,30.0,0.0,5.0,0.0,0.0
30391,30.0,0.0,5.0,0.0,0.0
30392,30.0,0.0,5.0,0.0,0.0
30399,30.0,0.0,5.0,0.0,0.0
30431,30.0,0.0,5.0,0.0,0.0
30432,30.0,0.0,5.0,0.0,0.0
30433,30.0,0.0,5.0,0.0,0.0
30439,30.0,0.0,5.0,0.0,0.0
30441,30.0,0.0,5.0,0.0,0.0
30442,30.0,0.0,5.0,0.0,0.0
30443,30.0,0.0,5.0,0.0,0.0
30444,30.0,0.0,5.0,0.0,0.0
30445,30.0,0.0,5.0,0.0,0.0
30446,30.0,0.0,5.0,0.0,0.0
30447,30.0,0.0,5.0,0.0,0.0
30448,30.0,0.0,5.0,0.0,0.0
30449,30.0,0.0,5.0,0.0,0.0
30451,30.0,0.0,5.0,0.0,0.0
30452,30.0,0.0,5.0,0.0,0.0
30453,30.0,0.0,5.0,0.0,0.0
30454,30.0,0.0,5.0,0.0,0.0
30455,30.0,0.0,5.0,0.0,0.0
30456,30.0,0.0,5.0,0.0,0.0
30457,30.0,0.0,5.0,0.0,0.0
30459,30.0,0.0,5.0,0.0,0.0
30461,30.0,0.0,5.0,0.0,0.0
30462,30.0,0.0,5.0,0.0,0.0
30463,30.0,0.0,5.0,0.0,0.0
30469,30.0,0.0,5.0,0.0,0.0
30471,30.0,0.0,5.0,0.0,0.0
30472,30.0,0.0,5.0,0.0,0.0
30473,30.0,0.0,5.0,0.0,0.0
30474,30.0,0.0,5.0,0.0,0.0
30475,30.0,0.0,5.0,0.0,0.0
30479,30.0,0.0,5.0,0.0,0.0
30481,30.0,0.0,5.0,0.0,0.0
30482,30.0,0.0,5.0,0.0,0.0
30483,30.0,0.0,5.0,0.0,0.0
30484,30.0,0.0,5.0,0.0,0.0
30485,30.0,0.0,5.0,0.0,0.0
30486,30.0,0.0,5.0,0.0,0.0
30487,30.0,0.0,5.0,0.0,0.0
30488,30.0,0.0,5.0,0.0,0.0
30489,30.0,0.0,5.0,0.0,0.0
30491,30.0,0.0,5.0,0.0,0.0
30492,30.0,0.0,5.0,0.0,0.0
30493,30.0,0.0,5.0,0.0,0.0
30494,30.0,0.0,5.0,0.0,0.0
30495,30.0,0.0,5.0,0.0,0.0
30496,30.0,0.0,5.0,0.0,0.0
30497,30.0,0.0,5.0,0.0,0.0
30499,30.0,0.0,5.0,0.0,0.0
30520,30.0,0.0,5.0,0.0,0.0
30531,30.0,0.0,5.0,0.0,0.0
30532,30.0,0.0,5.0,0.0,0.0
30539,30.0,0.0,5.0,0.0,0.0
30541,30.0,0.0,5.0,0.0,0.0
30542,30.0,0.0,5.0,0.0,0.0
30543,30.0,0.0,5.0,0.0,0.0
30544,30.0,0.0,5.0,0.0,0.0
30549,30.0,0.0,5.0,0.0,0.0
30551,30.0,0.0,5.0,0.0,0.0
30552,30.0,0.0,5.0,0.0,0.0
30553,30.0,0.0,5.0,0.0,0.0
30554,30.0,0.0,5.0,0.0,0.0
30559,30.0,0.0,5.0,0.0,0.0
30561,30.0,0.0,5.0,0.0,0.0
